Sertanópolis;RS 17 - Londrina;7.284;6.105;6.094
Siqueira Campos;RS 19 - Jacarezinho;6.833;6.079;6.377
Sulina;RS 07 - Pato Branco;...;...;...
Tamarana;RS 17 - Londrina;1.502;1.323;1.423
Tamboara;RS 14 - Paranavaí;...;...;...
Tapejara;RS 13 - Cianorte;5.600;5.600;5.550
Tapira;RS 12 - Umuarama;...;...;...
Teixeira Soares;RS 04 - Irati;1.123;975;1.045
Telêmaco Borba;RS 21 - Telêmaco Borba;25.002;23.321;22.805
Terra Boa;RS 11 - Campo Mourão;4.751;4.315;4.488
Terra Rica;RS 14 - Paranavaí;3.101;3.101;3.101
Terra Roxa;RS 20 - Toledo;4.143;3.568;3.770
Tibagi;RS 21 - Telêmaco Borba;4.195;3.864;4.055
Tijucas do Sul;RS 02 - Curitiba;...;...;...
Toledo;RS 20 - Toledo;51.718;46.435;39.183
Tomazina;RS 19 - Jacarezinho;1.536;1.373;1.455
Três Barras do Paraná;RS 10 - Cascavel;2.251;1.969;2.054
Tunas do Paraná;RS 02 - Curitiba;...;...;...
Tuneiras do Oeste;RS 13 - Cianorte;1.728;1.572;1.650
Tupãssi;RS 20 - Toledo;...;...;...
Turvo;RS 05 - Guarapuava;696;559;639
Ubiratã;RS 11 - Campo Mourão;3.960;3.472;3.602
Umuarama;RS 12 - Umuarama;49.086;43.918;41.168
União da Vitória;RS 06 - União da Vitória;9.358;7.803;6.102
Uniflor;RS 15 - Maringá;...;...;...
Uraí;RS 18 - Cornélio Procópio;3.819;3.520;3.733
Ventania;RS 21 - Telêmaco Borba;1.074;1.001;1.023
Vera Cruz do Oeste;RS 10 - Cascavel;2.531;2.242;2.336
Verê;RS 08 - Francisco Beltrão;...;...;...
Virmond;RS 05 - Guarapuava;...;...;...
Vitorino;RS 07 - Pato Branco;1;1;1
Wenceslau Braz;RS 19 - Jacarezinho;4.513;3.967;4.279
Xambrê;RS 12 - Umuarama;1.114;1.001;1.085
