Rosário do Ivaí;RS 22 - Ivaiporã;1.496;1.371;1.463
Sabáudia;RS 16 - Apucarana;3.745;3.357;3.630
Salgado Filho;RS 08 - Francisco Beltrão;1.187;1.070;1.093
Salto do Itararé;RS 19 - Jacarezinho;1.863;1.711;1.791
Salto do Lontra;RS 08 - Francisco Beltrão;3.994;3.542;3.693
Santa Amélia;RS 18 - Cornélio Procópio;1.244;1.139;1.210
Santa Cecília do Pavão;RS 18 - Cornélio Procópio;1.403;1.308;1.368
Santa Cruz de Monte Castelo;RS 14 - Paranavaí;3.082;2.767;2.980
Santa Fé;RS 15 - Maringá;4.926;4.510;4.737
Santa Helena;RS 20 - Toledo;5.604;4.859;5.072
Santa Inês;RS 15 - Maringá;704;634;695
Santa Isabel do Ivaí;RS 14 - Paranavaí;3.591;3.489;3.591
Santa Izabel do Oeste;RS 08 - Francisco Beltrão;3.792;3.402;3.414
Santa Lúcia;RS 10 - Cascavel;1.268;1.122;1.188
Santa Maria do Oeste;RS 22 - Ivaiporã;1.719;1.547;1.585
Santa Mariana;RS 18 - Cornélio Procópio;4.839;4.413;4.703
Santa Mônica;RS 14 - Paranavaí;1.200;1.200;1.138
Santa Tereza do Oeste;RS 10 - Cascavel;5.072;4.672;4.850
Santa Terezinha de Itaipu;RS 09 - Foz do Iguaçu;9.060;8.366;8.426
Santana do Itararé;RS 19 - Jacarezinho;1.781;1.628;1.734
Santo Antônio da Platina;RS 19 - Jacarezinho;18.166;16.325;17.149
Santo Antônio do Caiuá;RS 14 - Paranavaí;1.043;979;1.024
Santo Antônio do Paraíso;RS 18 - Cornélio Procópio;913;834;907
Santo Antônio do Sudoeste;RS 08 - Francisco Beltrão;6.283;5.693;5.901
Santo Inácio;RS 15 - Maringá;2.515;2.286;2.465
São Carlos do Ivaí;RS 14 - Paranavaí;2.820;2.558;2.707
São Jerônimo da Serra;RS 18 - Cornélio Procópio;3.204;3.061;3.107
São João;RS 07 - Pato Branco;3.545;3.191;3.217
São João do Caiuá;RS 14 - Paranavaí;2.387;2.226;2.332
São João do Ivaí;RS 22 - Ivaiporã;4.257;3.894;4.147
São João do Triunfo;RS 03 - Ponta Grossa;1.822;1.617;1.644
São Jorge d'Oeste;RS 08 - Francisco Beltrão;2.960;2.644;2.726
São Jorge do Ivaí;RS 15 - Maringá;2.200;2.070;2.157
São Jorge do Patrocínio;RS 12 - Umuarama;2.341;2.094;2.225
São José da Boa Vista;RS 19 - Jacarezinho;1.808;1.651;1.732
São José das Palmeiras;RS 20 - Toledo;1.309;1.181;1.156
São José dos Pinhais;RS 02 - Curitiba;120.760;111.955;87.542
São Manoel do Paraná;RS 13 - Cianorte;770;686;736
São Mateus do Sul;RS 06 - União da Vitória;11.254;9.977;9.563
São Miguel do Iguaçu;RS 09 - Foz do Iguaçu;9.441;8.495;8.489
São Pedro do Iguaçu;RS 20 - Toledo;2.004;1.805;1.860
